Datetime,Water Level (m)
2024-02-29 00:00:00,-0.027642623
2024-02-29 01:00:00,-0.023735473
2024-02-29 02:00:00,-0.017730676
2024-02-29 03:00:00,-0.01304825
2024-02-29 04:00:00,-0.0109373545
2024-02-29 05:00:00,-0.011293075
2024-02-29 06:00:00,-0.014206308
2024-02-29 07:00:00,-0.019734066
2024-02-29 08:00:00,-0.027464049
2024-02-29 09:00:00,-0.036788147
2024-02-29 10:00:00,-0.04576502
2024-02-29 11:00:00,-0.051750742
2024-02-29 12:00:00,-0.053671107
2024-02-29 13:00:00,-0.052236438
2024-02-29 14:00:00,-0.047890715
2024-02-29 15:00:00,-0.042836875
2024-02-29 16:00:00,-0.039727814
2024-02-29 17:00:00,-0.039019365
2024-02-29 18:00:00,-0.040752836
2024-02-29 19:00:00,-0.04461191
2024-02-29 20:00:00,-0.050712757
2024-02-29 21:00:00,-0.05867634
2024-02-29 22:00:00,-0.06549894
2024-02-29 23:00:00,-0.06909841
2024-03-01 00:00:00,-0.06960433
2024-03-01 01:00:00,-0.06710999
2024-03-01 02:00:00,-0.06210433
2024-03-01 03:00:00,-0.056610644
2024-03-01 04:00:00,-0.05341512
2024-03-01 05:00:00,-0.053022142
2024-03-01 06:00:00,-0.05517664
2024-03-01 07:00:00,-0.059657753
2024-03-01 08:00:00,-0.066316575
2024-03-01 09:00:00,-0.07495021
2024-03-01 10:00:00,-0.08392686
2024-03-01 11:00:00,-0.09024156
2024-03-01 12:00:00,-0.09299864
2024-03-01 13:00:00,-0.09289893
2024-03-01 14:00:00,-0.08983887
2024-03-01 15:00:00,-0.08484431
2024-03-01 16:00:00,-0.08039367
2024-03-01 17:00:00,-0.077905335
2024-03-01 18:00:00,-0.07756513
2024-03-01 19:00:00,-0.079279214
2024-03-01 20:00:00,-0.0833303
2024-03-01 21:00:00,-0.089325085
2024-03-01 22:00:00,-0.09598875
2024-03-01 23:00:00,-0.10028393
2024-03-02 00:00:00,-0.10120321
2024-03-02 01:00:00,-0.099752404
